,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Nasty,Sensei,Datsik,2016-12-16,217600,53,0.461,0.00025,0.461,0.964,0.3,0.247,-3.275,0.223,112.586,3
1,Warriors of the Night,Master of Shadows,Datsik,2018-01-12,203600,54,0.735,0.000634,0.735,0.92,0.186,0.394,-3.036,0.051,150.0,4
2,Energy Drink,The Classics,Virtual Riot,2017-05-05,303777,51,0.817,0.0477,0.817,0.927,0.0563,0.102,-4.119,0.22,128.029,4
3,Show Up,German Engineering EP,Virtual Riot,2018-01-31,267200,50,0.628,0.00279,0.628,0.893,0.00173,0.0791,-4.206,0.146,150.154,4
4,Preset Junkies VIP,Preset Junkies EP,Virtual Riot,2018-10-24,214800,47,0.562,0.000988,0.562,0.955,0.0371,0.419,-3.067,0.152,112.263,3
5,Evil Gameboy,There Goes Your Money,Virtual Riot,2013-05-27,229278,43,0.488,0.165,0.488,0.857,1.74e-05,0.117,-4.377,0.293,111.989,4
6,Still Kids,Still Kids - EP,Virtual Riot,2017-08-10,229714,44,0.655,0.219,0.655,0.663,0.00351,0.173,-6.068,0.0479,139.958,4
7,Pray For Riddim,German Engineering EP,Virtual Riot,2018-01-31,217600,47,0.678,0.0022,0.678,0.832,0.174,0.236,-2.535,0.343,74.992,4
8,Cry Some More,Cry Some More,Virtual Riot,2018-12-22,210967,45,0.724,0.0112,0.724,0.966,0.164,0.369,-2.934,0.249,77.501,4
9,In My Head,In My Head,Virtual Riot,2016-10-29,222352,46,0.708,0.0555,0.708,0.713,0.00389,0.32,-5.39,0.0657,101.999,4
10,One Two,Preset Junkies EP,Virtual Riot,2018-10-24,275000,43,0.767,0.00707,0.767,0.939,0.0806,0.359,-4.509,0.312,150.067,4
11,Lunar,The Classics,Virtual Riot,2017-05-05,266631,40,0.367,0.00189,0.367,0.798,0.327,0.104,-5.686,0.0542,113.483,5
12,Borg,Chemistry EP,Virtual Riot,2016-05-02,265100,41,0.569,0.0133,0.569,0.96,0.00135,0.0734,-4.513,0.296,75.016,4
13,Everyday,Still Kids - EP,Virtual Riot,2017-08-10,234000,43,0.709,0.405,0.709,0.672,1.55e-06,0.125,-6.886,0.205,159.924,4
14,Flutter,Flutter,Virtual Riot,2016-06-24,178285,41,0.499,0.0292,0.499,0.79,0.0052,0.0802,-5.187,0.0763,133.515,4
15,Fuck Gravity,The Classics,Virtual Riot,2017-05-05,290481,40,0.604,0.0746,0.604,0.867,0.432,0.0927,-5.161,0.0462,110.017,4
16,Juices,Chemistry EP,Virtual Riot,2016-05-02,294400,39,0.726,0.00315,0.726,0.97,4.84e-05,0.0774,-4.188,0.258,149.977,4
17,Lost It,Still Kids - EP,Virtual Riot,2017-08-10,195200,42,0.591,0.0941,0.591,0.779,5.14e-05,0.113,-5.767,0.381,150.021,4
18,Chop Chop,German Engineering EP,Virtual Riot,2018-01-31,160266,41,0.713,0.000967,0.713,0.871,6.43e-05,0.215,-3.054,0.624,149.942,4
19,Minimalist,The Classics,Virtual Riot,2017-05-05,220055,35,0.538,0.0649,0.538,0.79,0.595,0.112,-5.888,0.0884,110.046,4
20,Throwin' Elbows (Getter & Virtual Riot Remix),Virus: The Remixes,Excision,2017-09-05,304800,44,0.413,0.000239,0.413,0.879,0.0352,0.329,-4.582,0.205,79.447,4
21,How Do You Turn This On,How Do You Turn This On,Virtual Riot,2018-12-10,254000,40,0.509,0.0012,0.509,0.877,0.00268,0.0991,-2.43,0.322,120.009,4
22,The Darkest Night,German Engineering EP,Virtual Riot,2018-01-31,248432,37,0.451,0.0497,0.451,0.663,0.578,0.271,-8.036,0.121,143.75,4
23,Paper Planes,The Classics,Virtual Riot,2017-05-05,229459,41,0.58,0.398,0.58,0.494,0.0482,0.105,-7.587,0.0696,175.083,4
24,We're Not Alone,We're Not Alone EP,Virtual Riot,2014-08-11,293142,37,0.715,0.108,0.715,0.74,0.124,0.253,-7.19,0.126,140.002,4
25,Alien,Alien,Dodge & Fuski,2015-09-07,185600,40,0.529,0.00866,0.529,0.995,0.0725,0.116,-4.264,0.129,74.981,4
26,Alive,There Goes Your Money,Virtual Riot,2013-05-27,240428,33,0.571,0.00637,0.571,0.779,1.19e-06,0.446,-3.481,0.0373,139.997,4
27,Stay For A While,The Classics,Virtual Riot,2017-05-05,199714,39,0.764,0.0149,0.764,0.925,0.000712,0.118,-4.822,0.117,140.013,4
28,Never Let Me Go,Throw Back,Virtual Riot,2017-02-27,291096,37,0.461,0.0141,0.461,0.94,0.00314,0.0987,-4.897,0.111,155.017,4
29,Freakuency,Master of Shadows,Datsik,2018-01-12,198400,36,0.764,0.00331,0.764,0.865,0.0197,0.102,-3.512,0.247,74.998,4
30,Komputermusik,German Engineering EP,Virtual Riot,2018-01-31,201600,38,0.78,0.00344,0.78,0.75,0.00122,0.346,-3.5,0.205,75.01,4
31,By My Side,By My Side,Modestep,2018-07-09,230400,40,0.523,0.00194,0.523,0.956,0.00465,0.469,-2.875,0.105,74.962,4
32,Talk About It (Virtual Riot Remix) [feat. Desirée Dawson],Nerds by Nature (The Remixes),Pegboard Nerds,2017-05-16,202758,40,0.591,0.00649,0.591,0.913,0.000207,0.37,-3.974,0.0668,145.034,4
33,Basement Dwellers,Basement Dwellers,Barely Alive,2017-09-04,215200,42,0.681,0.000785,0.681,0.905,0.00326,0.91,-4.162,0.292,75.006,4
34,So Baked,There Goes Your Money,Virtual Riot,2013-05-27,302896,37,0.628,0.0202,0.628,0.971,0.092,0.0894,-3.018,0.0485,145.035,4
35,Continue,Continue,Virtual Riot,2018-06-14,226000,38,0.754,0.00152,0.754,0.788,0.278,0.123,-4.065,0.201,120.129,4
36,Init,Throw Back,Virtual Riot,2017-02-27,326413,35,0.426,0.0224,0.426,0.674,0.07,0.123,-4.843,0.0513,149.923,4
37,Remedy Ft. Leah Culver,Preset Junkies EP,Virtual Riot,2018-10-24,219200,35,0.738,0.0477,0.738,0.946,0.0271,0.0722,-2.669,0.0555,150.046,4
38,Degenerates,Degenerates,Virtual Riot,2017-10-02,275487,34,0.709,0.0262,0.709,0.873,0.0662,0.152,-3.974,0.177,149.991,4
39,Carrier,Nightmare EP,Virtual Riot,2015-02-16,246964,32,0.413,0.00262,0.413,0.902,0.0905,0.474,-4.289,0.127,100.414,3
40,Dog Fight,Dog Fight,Virtual Riot,2018-07-11,209600,37,0.389,0.0107,0.389,0.871,0.516,0.145,-4.026,0.139,149.942,4
41,Kingdoms & Castles,Still Kids - EP,Virtual Riot,2017-08-10,195096,37,0.609,0.0271,0.609,0.797,0.0,0.0695,-5.475,0.0453,155.007,4
42,Throwback,Throw Back,Virtual Riot,2017-02-27,241548,36,0.391,0.0047,0.391,0.904,0.0239,0.339,-4.764,0.079,153.397,4
43,Sugar Rush - Original Mix,Sugar Rush EP,SUBSOUND,2013-10-14,228779,35,0.806,0.256,0.806,0.877,0.0106,0.288,-3.998,0.0704,127.078,4
44,Pixel Forest,Pixel Forest,Virtual Riot,2017-07-03,208690,33,0.579,0.0137,0.579,0.829,0.0207,0.0502,-5.327,0.164,149.946,4
45,Rampage,Rampage Sampler 03,Various Artists,2018-02-08,238400,38,0.663,0.000233,0.663,0.965,0.0126,0.328,-1.788,0.0826,150.026,4
46,Glow In The Dark - Interlude,Preset Junkies EP,Virtual Riot,2018-10-24,65163,28,0.258,0.0475,0.258,0.277,0.9,0.14,-9.275,0.037,75.274,4
47,Jump The Gun,German Engineering EP,Virtual Riot,2018-01-31,221379,34,0.751,0.000964,0.751,0.91,0.4,0.108,-3.487,0.313,173.995,4
48,WFSU - Virtual Riot & Snails Remix,WFSU (Virtual Riot & Snails Remix),Snails,2018-08-16,228800,33,0.642,0.00173,0.642,0.979,0.000731,0.412,-3.309,0.124,150.049,4
49,"One for All, All for One",Monstercat 014 - Discovery,Various Artists,2013-09-02,260275,36,0.55,0.0182,0.55,0.941,0.00375,0.312,-3.128,0.0849,145.006,4
